run_dir,model_name,branch,generation,metric,summary_value,recomputed_value,abs_diff,status,tolerance
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,anchor_20_append,0.0,silent_error_rate,0.29,0.29,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,anchor_20_append,1.0,sample_count,100.0,100.0,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,anchor_20_append,1.0,accuracy_mean,0.45,0.45,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,anchor_20_append,1.0,pedagogical_score_mean,5.24,5.24,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,anchor_20_append,1.0,silent_error_rate,0.27,0.27,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,anchor_20_append,2.0,sample_count,100.0,100.0,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,anchor_20_append,2.0,accuracy_mean,0.48,0.48,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,anchor_20_append,2.0,pedagogical_score_mean,5.25,5.25,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,anchor_20_append,2.0,silent_error_rate,0.27,0.27,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,pure_recycling,0.0,sample_count,100.0,100.0,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,pure_recycling,0.0,accuracy_mean,0.42,0.42,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,pure_recycling,0.0,pedagogical_score_mean,4.75,4.75,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,pure_recycling,0.0,silent_error_rate,0.29,0.29,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,pure_recycling,1.0,sample_count,100.0,100.0,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,pure_recycling,1.0,accuracy_mean,0.49,0.49,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,pure_recycling,1.0,pedagogical_score_mean,5.25,5.25,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,pure_recycling,1.0,silent_error_rate,0.24,0.24,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,pure_recycling,2.0,sample_count,100.0,100.0,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,pure_recycling,2.0,accuracy_mean,0.39,0.39,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,pure_recycling,2.0,pedagogical_score_mean,4.75,4.75,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed52_20260423_111039,qwen2.5:0.5b,pure_recycling,2.0,silent_error_rate,0.3,0.3,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,anchor_10_replace,0.0,sample_count,100.0,100.0,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,anchor_10_replace,0.0,accuracy_mean,0.4,0.4,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,anchor_10_replace,0.0,pedagogical_score_mean,4.77,4.77,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,anchor_10_replace,0.0,silent_error_rate,0.23,0.23,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,anchor_10_replace,1.0,sample_count,100.0,100.0,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,anchor_10_replace,1.0,accuracy_mean,0.44,0.44,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,anchor_10_replace,1.0,pedagogical_score_mean,5.07,5.07,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,anchor_10_replace,1.0,silent_error_rate,0.29,0.29,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,anchor_10_replace,2.0,sample_count,100.0,100.0,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,anchor_10_replace,2.0,accuracy_mean,0.42,0.42,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,anchor_10_replace,2.0,pedagogical_score_mean,5.01,5.01,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,anchor_10_replace,2.0,silent_error_rate,0.25,0.25,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,anchor_20_append,0.0,sample_count,100.0,100.0,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,anchor_20_append,0.0,accuracy_mean,0.45,0.45,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,anchor_20_append,0.0,pedagogical_score_mean,4.86,4.86,0.0,ok,1e-06
C:\Users\kiris\Documents\New project\outputs\runs\anchoring_confirmatory_append_seed53_20260423_221619,qwen2.5:0.5b,anchor_20_append,0.0,silent_error_rate,0.33,0.33,0.0,ok,1e-06
